Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
St. Thomas-Minnesota,Nick Janowski,5,11,0.45454545454545453,10.442249316338765,13,2.5577506836612347,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,12.601893975359188,15,2.3981060246408124
St. Thomas-Minnesota,Ben Oosterbaan,3,10,0.3,11.238144084327997,8,-3.238144084327997,0,0,0.0,0.0,0,0.0,11.238144084327997,8,-3.238144084327997
St. Thomas-Minnesota,Nolan Minessale,7,17,0.4117647058823529,16.171276997046093,16,-0.17127699704609256,8,11,0.7272727272727273,7.918697083074881,8,0.08130291692511893,24.089974080120975,24,-0.08997408012097452
St. Thomas-Minnesota,Carter Bjerke,4,7,0.5714285714285714,6.287575023931931,12,5.712424976068069,4,4,1.0,2.8795262120272294,4,1.1204737879727706,9.16710123595916,16,6.83289876404084
St. Thomas-Minnesota,Isaiah Johnson-Arigu,3,7,0.42857142857142855,6.7107128728727625,7,0.2892871271272375,0,0,0.0,0.0,0,0.0,6.7107128728727625,7,0.2892871271272375
St. Thomas-Minnesota,Jermaine Coleman,1,3,0.3333333333333333,3.076123891852623,2,-1.0761238918526228,0,0,0.0,0.0,0,0.0,3.076123891852623,2,-1.0761238918526228
St. Thomas-Minnesota,Ryan Dufault,2,5,0.4,5.16013189886999,4,-1.1601318988699898,0,0,0.0,0.0,0,0.0,5.16013189886999,4,-1.1601318988699898
St. Thomas-Minnesota,Hayden Tibbits,0,1,0.0,1.1102827113432856,0,-1.1102827113432856,0,0,0.0,0.0,0,0.0,1.1102827113432856,0,-1.1102827113432856
Portland,Garrett Nuckolls,1,6,0.16666666666666666,6.038127190836349,3,-3.0381271908363487,0,0,0.0,0.0,0,0.0,6.038127190836349,3,-3.0381271908363487
Portland,Cameron Williams,6,10,0.6,10.048457341969765,12,1.9515426580302346,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,11.48822044798338,13,1.5117795520166197
Portland,Mikah Ballew,1,8,0.125,8.4791441241329,3,-5.479144124132899,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,9.918907230146514,4,-5.918907230146514
Portland,Timo George,8,10,0.8,9.849585157439737,16,6.150414842560263,1,1,1.0,0.7198815530068073,1,0.28011844699319266,10.569466710446545,17,6.4305332895534555
Portland,Joel Foxwell,5,12,0.4166666666666667,11.644322501108743,11,-0.6443225011087428,0,0,0.0,0.0,0,0.0,11.644322501108743,11,-0.6443225011087428
Portland,Matúš Hronský,4,10,0.4,9.697482568242568,10,0.3025174317574315,0,0,0.0,0.0,0,0.0,9.697482568242568,10,0.3025174317574315
Portland,Kelson Gebbers,2,2,1.0,2.1083530032797677,5,2.8916469967202323,0,0,0.0,0.0,0,0.0,2.1083530032797677,5,2.8916469967202323
Portland,Jermaine Ballisager Webb,1,1,1.0,1.0134220899495399,2,0.9865779100504601,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,2.4531851959631545,3,0.5468148040368455
